Country,Name,Code,AirportCode,AirportName
Cypr,Melissi Beach,LCA20038,LCA,Larnaca
Zjednoczone Emiraty Arabskie,Riu Dubai,DXB30010,DXB,Dubai
Grecja,Atlantica Mikri Poli Kos,KGS15001,KGS,Kos
Hiszpania,Grupotel Aguait Resort & Spa,PMI73004,PMI,Palma de Mallorca
Tunezja,Occidental Marco Polo,NBE16155,NBE,Enfidha
Wyspy Kanaryjskie,H10 Ocean Dreams,FUE24030,FUE,Fuerteventura
Mauritius,Lagoon Attitude,MRU45020,MRU,Mauritius
Wyspy Kanaryjskie,TUI Blue Playa Feliz,LPA19006,LPA,Gran Canaria
Grecja,Atrium Palace Thalasso Spa Resort and Villas,RHO26010,RHO,Rodos
Hiszpania,Aparthotel Beach Club,MAH21012,MAH,Minorka
Grecja,TUI MAGIC LIFE Candia Maris,HER25030,HER,Heraklion
Grecja,Elounda Ilion,HER50020,HER,Heraklion
Egipt,Falcon Naama Star,SSH11013,SSH,Sharm El Sheikh
Turcja,Hotel Aydinbey Famous Resort,AYT32050,AYT,Antalya
Wyspy Kanaryjskie,Esmeralda Maris,FUE22003,FUE,Fuerteventura
Hiszpania,Hipotels Don Juan,PMI63014,PMI,Palma de Mallorca
Egipt,Jaz Casa del Mar Resort,HRG11053,HRG,Hurghada
Bu³garia,Aurora Hotel & Villa,VAR11050,VAR,Warna
Mauritius,Riu Creole,MRU60061,MRU,Mauritius
Grecja,TUI BLUE Atlantica Nissaki Beach,CFU23014,CFU,Korfu
Tunezja,Seabel Alhambra Beach Golf & Spa,NBE11020,NBE,Enfidha
Zanzibar,DoubleTree by Hilton Hotel Zanzibar- Stone Town,ZNZ10009,ZNZ,Zanzibar
Hiszpania,La Quinta Menorca by PortBlue Butique,MAH26016,MAH,Minorka
"Dominikana,""Royalton Bavaro, An Autograph Collection All-Inclusive Resort & Casino "",PUJ62096,PUJ,Punta Cana"
Wyspy Kanaryjskie,Elba Premium Suites,ACE23006,ACE,Lanzarote
Grecja,Plakias Resort,CHQ23018,HER,Heraklion
Cypr,Atlantica Golden Beach,PFO10036,PFO,Pafos
Hiszpania,HSM S'Olivera Hotel & Apartments,PMI33030,PMI,Palma de Mallorca
Hiszpania,Siau Ibiza,IBZ46006,IBZ,Ibiza
Turcja,TUI BLUE Sensatori Barut Fethiye,DLM23065,DLM,Dalaman
Bu³garia,Grifid Club Hotel Arabella,VAR21017,VAR,Warna
Grecja,Atlantica Mikri Poli Park (ex Carda Beach),KGS15030,KGS,Kos
Mauritius,InterContinental Mauritius Resort,MRU80016,MRU,Mauritius
Albania,Gloria Palace & SPA,TIA15122,TIA,Tirana
Wyspy Kanaryjskie,THB Tropical Island Resort ,ACE23054,ACE,Lanzarote
Tunezja,TUI MAGIC LIFE Penelope Beach,DJE11099,DJE,Djerba
Grecja,Hotel Glicorisa Beach,SMI41044,SMI,Samos
Indonezja - Bali,Le Méridien Bali Jimbaran,DPS17005,DPS,Denpasar
Meksyk,Viva Wyndham Azteca,CUN43020,CUN,Cancun
Jamajka,Hotel Riu Ocho Rios,MBJ21050,MBJ,Montego Bay
Wyspy Kanaryjskie,ROBINSON Playa Jandia,FUE11001,FUE,Fuerteventura
Cypr,Tasia Maris Beach Hotel & SPA,LCA20002,LCA,Larnaca
Grecja,Gaia Village,KGS21011,KGS,Kos
Grecja,Mediterranean,RHO11042,RHO,Rodos
Tunezja,Skanes Family Resort,NBE14002,NBE,Enfidha
Grecja,TUI BLUE Atlantica Creta Paradise,CHQ26010,CHQ,Chania
Turcja,Eftalia Ocean Resort & Spa,AYT57051,AYT,Antalya
Cypr,Nelia Beach,LCA20045,LCA,Larnaca
Grecja,Vantaris Garden,HER28070,HER,Heraklion
Turcja,Papillon Belvil Holiday Village,AYT31055,AYT,Antalya
Bu³garia,Helena Park,BOJ11045,BOJ,Burgas
Zjednoczone Emiraty Arabskie,Hilton Garden Inn MOE,DXB11007,DXB,Dubai
Grecja,TUI SUNEO Althea Village,CHQ14012,CHQ,Chania
Cypr,Amavi Hotel,PFO10094,PFO,Pafos
Indonezja - Bali,Grand Mirage Resort Thalasso,DPS19124,DPS,Denpasar
Cypr,Hotel Anonymous Beach,LCA20007,LCA,Larnaca
Tunezja,Hammamet Beach ,NBE16073,NBE,Enfidha
Wyspy Kanaryjskie,Gloria Palace Royal Hotel & Spa,LPA51002,LPA,Gran Canaria
